StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Female,Caucasian,Some College,19.833723068237305,7,True,Moderate,False,False,True,False,2.9291956424713135,C
1002,18,Male,Caucasian,High School,15.408756256103516,0,False,Low,False,False,False,False,3.042914867401123,B
1003,15,Male,Asian,Bachelor's,4.210569858551025,26,False,Moderate,False,False,False,False,0.11260225623846054,F
1004,17,Female,Caucasian,Bachelor's,10.028829574584961,14,False,High,True,False,False,False,2.054218053817749,D
1005,17,Female,Caucasian,Some College,4.672495365142822,17,True,High,False,False,False,False,1.2880611419677734,F
1006,18,Male,Caucasian,High School,8.191218376159668,0,False,Low,True,False,False,False,3.084183692932129,B
1007,15,Male,African American,High School,15.601680755615234,10,False,High,False,True,False,False,2.748237371444702,C
1008,15,Female,African American,Higher,15.4244966506958,22,True,Low,True,False,False,False,1.360142707824707,F
1009,17,Male,Caucasian,None,4.562007427215576,1,False,Moderate,False,True,False,True,2.8968191146850586,C
1010,16,Female,Caucasian,High School,18.44446563720703,0,False,High,True,False,False,False,3.573474168777466,A
1011,17,Male,Caucasian,High School,11.851363182067871,11,False,Low,False,False,False,False,2.14717173576355,D
1012,17,Male,Caucasian,High School,7.598485946655273,15,False,Moderate,False,False,False,True,1.5595945119857788,F
1013,17,Male,African American,High School,10.038711547851562,21,False,High,True,False,False,False,1.5200778245925903,F
1014,17,Male,African American,Some College,12.101425170898438,21,False,Very High,False,True,False,False,1.7515809535980225,F
1015,18,Female,Caucasian,High School,11.197810173034668,9,True,Moderate,False,False,False,False,2.3967881202697754,D
1016,15,Male,Caucasian,Some College,9.728100776672363,17,True,None,False,True,False,False,1.3415206670761108,F
1017,18,Male,Other,High School,10.098655700683594,14,False,Moderate,True,True,False,False,2.232175350189209,D
1018,18,Female,Caucasian,None,3.528238296508789,16,True,Moderate,False,False,False,False,1.384404182434082,F
1019,18,Male,African American,Bachelor's,16.254657745361328,29,False,Moderate,True,False,False,True,0.4695533215999603,F
1020,17,Male,Caucasian,High School,10.835206031799316,9,False,Moderate,False,False,True,False,2.3957841396331787,D
1021,16,Female,Caucasian,Bachelor's,2.6215972900390625,2,False,High,False,False,False,True,2.778411388397217,C
1022,15,Male,Caucasian,Some College,15.323142051696777,25,False,Low,True,False,False,False,0.3468940258026123,F
1023,16,Female,African American,None,18.648880004882812,29,True,Low,False,False,False,False,0.3125462234020233,F
1024,18,Female,Other,Higher,18.946138381958008,20,False,Moderate,True,False,False,False,1.7701318264007568,F
1025,18,Female,Caucasian,High School,7.380354881286621,15,False,Moderate,False,False,False,False,1.5051555633544922,F
1026,16,Female,Caucasian,Bachelor's,2.7103374004364014,5,False,Very High,False,False,True,False,2.9778518676757812,C
1027,16,Male,Caucasian,High School,10.367992401123047,2,False,Moderate,False,True,False,False,2.9487175941467285,C
1028,16,Female,Caucasian,Bachelor's,2.2521846294403076,8,False,High,False,False,True,False,2.145204782485962,D
1029,18,Male,Caucasian,None,18.67974853515625,10,False,High,True,False,False,False,2.854804039001465,C
1030,18,Male,Caucasian,Some College,3.6715924739837646,20,False,High,True,False,False,False,1.5194417238235474,F
1031,15,Male,Asian,Some College,5.055317401885986,12,True,None,False,True,False,False,1.727120280265808,F
1032,15,Male,Caucasian,Bachelor's,8.132730484008789,17,False,Very High,False,False,False,True,1.847535490989685,F
1033,18,Male,Caucasian,Bachelor's,7.663289546966553,25,False,Low,False,True,False,False,0.3846169710159302,F
1034,16,Male,Other,Bachelor's,15.893258094787598,21,False,None,True,True,False,False,0.949406087398529,F
1035,16,Male,Caucasian,Bachelor's,9.126336097717285,27,True,Moderate,True,True,False,False,1.14095938205719,F
1036,15,Male,Other,High School,3.415365219116211,23,False,Low,False,False,False,False,0.26147225499153137,F
1037,18,Male,Caucasian,High School,5.344197750091553,26,True,Low,False,False,False,False,0.21828486025333405,F
1038,15,Male,Asian,High School,10.182268142700195,21,True,Low,False,True,False,False,1.0677635669708252,F
1039,15,Female,African American,High School,2.949078321456909,3,True,Low,True,True,False,False,3.0189058780670166,B
1040,17,Female,Asian,High School,12.233113288879395,21,True,High,True,True,False,False,1.5268678665161133,F
1041,17,Female,Other,Some College,11.314946174621582,23,True,Low,False,False,False,False,1.0582873821258545,F
1042,17,Male,Caucasian,High School,14.294046401977539,7,False,Moderate,False,False,False,False,2.6251280307769775,C
1043,16,Female,Other,Some College,18.754093170166016,12,True,Very High,False,False,False,False,2.8087549209594727,C
1044,18,Female,Caucasian,High School,18.24509048461914,9,False,Moderate,False,True,False,False,2.8888916969299316,C
1045,18,Female,Caucasian,High School,18.921512603759766,1,True,High,True,True,False,False,4.0,A
1046,18,Male,Caucasian,Some College,4.894311904907227,7,False,Very High,False,False,True,False,2.5153002738952637,C
1047,18,Male,African American,Some College,2.6313061714172363,5,False,Low,True,False,False,False,2.563765525817871,C
1048,17,Male,Caucasian,Some College,6.045534133911133,15,False,Moderate,False,False,False,False,1.7036118507385254,F
1049,16,Male,African American,Some College,17.901702880859375,17,False,High,False,False,True,False,2.0998852252960205,D
1050,16,Female,African American,High School,19.441068649291992,16,False,Very High,True,False,False,False,2.4610469341278076,D
